;text
1824;GuruNet Spins Off Answers.com - A Reference Driven Search Engine\\GuruNet Corporation today announced the release of Answers.com, a site-and-software combination providing instant reference answers rather than lists of search engine links. GuruNet Corporation, through its Answers.com site, plans to generate revenues from ads placed alongside its topic entries, rather than ...
1825;BLOOMFIELD TOWNSHIP, Mich. -- It's not as though they're children or anything. David Howell is 29, a nine-year veteran of the European PGA Tour. Paul Casey is 27, a highly publicized collegiate star here in America who has earned more than \$1.6 million this year splitting his time between the American and European tours.
1826;TEHRAN, Iran - Iran said Sunday it would not abandon uranium enrichment, rejecting a key demand by three European powers that have threatened to intensify pressure if Tehran does not curb its nuclear program.    Foreign Ministry spokesman Hamid Reza Asefi said Iran already had the technology required for its nuclear fuel cycle, and would not reverse the situation...
1827;TORONTO -- If the faithful among Red Sox Nation looked to the sky late last night, they may have been convinced that it was aglow with a late-summer display of Northern Lights. Instead, it was the fireworks grand finale to a dazzling, 11-5 drubbing of the Blue Jays that had the Sox belting out four home runs and 17 hits ...
1828;MoreGoogle : Enhances your Google Experience\\Google seems to be the worlds favorite search engine. It is famous for its bare interface that focuses more on speed and accurate results than eye candy. And apparently some people find it to be too bare. That is why we have had tools like ...
1829;AP - U.S. Open champion Svetlana Kuznetsova won the Wismilak International on Sunday, defeating Germany's Marlene Weingartner 6-1, 6-4 to advance to No. 5 in the rankings. This was the Russian's second straight title and the fifth in her WTA Tour career. She also won on this resort island in 2002.
1830;Between 6,000 and 10,000 people are dying from disease and violence each month in Sudan's Darfur region as heavy rains and a marauding militia hinder U.N. efforts to respond to one of Africa's worst humanitarian crises, according to a survey of mortality rates by the United Nations' World Health Organization.
1831;"AP - Chris DiMarco and Chris Riley faced knee-knocking pressure in the last round of the PGA Championship. And what did they get for their efforts? More of the same. DiMarco and Riley played themselves into the pressure-packed Ryder Cup with their performances Sunday in the year's final major. DiMarco finished second after a three-man, three-hole playoff and Riley was fourth  #151; good enough to knock Jay Haas and Steve Flesch out of the top 10 in the Ryder Cup point standings."
1832;AP - Jeremy Wariner is just 20 years old. He just led a U.S. sweep in the 400 meters at the Olympic Games. So c'mon kid, get excited! Cool, calm and with a fluid running style all his own, the lean Baylor University student raced to the gold medal Monday night wearing sunglasses, two earrings and a jingling necklace.
1833;"AP - For centuries, it has been one of humanity's most graphic, gruesome ways to end a life: sever the head, home to thoughts, dreams and that most personal of features  #151; the face. Decapitation by hand, with sword or knife, smacks of ugly yesterdays  #151; things the West prefers to think it has left behind."
1834;"NEW YORK - Defense Secretary Donald Rumsfeld said Monday he does not expect civil war in Iraq and pointed to the recent retaking of the former insurgent stronghold of Samarra as evidence of progress in stabilizing the country before elections in January.   ""I don't think it's going to happen,"" Rumsfeld told the Council on Foreign Relations when asked about the threat of civil war..."
1835;"Shopping Cart Abandonment\\A thread at Search Engine Watch forums named Let's talk about shopping cart conversion discusses real people's experience with shopping cart abandonment rates. As mentioned in the thread, on average, the ""75 of online shoppers abandon their shopping carts"". What is even more shocking is that ""47 of ..."
1836;New Trojan Targets Adware\\Antivirus maker Symantec has reported the arrival of a spooky Trojan Horse online, which does something unique. Codenamed Downloader.Lunii, it attacks and even removes advertisement enabled softwares, which are generally considered harmful for the system. On execution of the code, it tries to kill the processes associated ...
1837;"LOS ANGELES Oct. 7, 2004 - NASA #39;s Mars rovers don #39;t seem to be wearing out, so mission planners have begun to think more boldly including a plan to let one climb up a steep slope from a crater it has been exploring to set out across a plain."
1838;AP - A couple of new Killer Bs have the Houston Astros one win away from ending 43 seasons of playoff failure. Carlos Beltran hit a two-run homer and Brandon Backe pitched six solid innings in his postseason debut to lead the Astros to their 19th straight home win, 8-5 over Atlanta on Saturday for a 2-1 lead in their NL series.
1839;TOKYO -- Red Sox outfielder Manny Ramirez cut short his tour of Japan today (Japan time), electing to fly back to the United States. Ramirez, who participated in a home run derby yesterday and played five innings last night, getting two hits, told team officials that his left hamstring was bothering him. Officials decided that if Ramirez was unavailable to ...
1840;NEW YORK - A sluggish gross domestic product reading was nonetheless better than expected, prompting investors to send stocks moderately higher Friday on hopes that the economic slowdown would not be as bad as first thought.    The 2.8 percent GDP growth in the second quarter, a revision from the 3 percent preliminary figure reported in July, is a far cry from the 4.5 percent growth in the first quarter...
1841;Ted Lilly's three-hit shutout against the surging Boston Red Sox was barely the best pitching performance in the American League. Detroit's Jeremy Bonderman struck out a career-high 14 Monday night in a 7-0 victory over the Chicago White Sox, and Scott Kazmir pitched five scoreless innings to win his major league debut for Tampa Bay...
1842;"AP - Down a steep staircase littered with glass shards and rubble, U.S. Marines descended Thursday to a dark basement believed to have been one of Fallujah's torture chambers. They found bloodstains and a single bloody hand print on the wall  #151; evidence of the horrors once carried out in this former insurgent stronghold."
1843;Reuters - Think of it as Wi-Fi on steroids.\On its way to U.S. living rooms and maybe even automobiles is a\new type of high-speed wireless connection that promises\downloaded data rates of up to 1 gigabit per second -- roughly\18.5 times the speed of Wi-Fi -- to personal computers and\other devices.
1844;SAN PEDRO DE MACORIS, Dominican Republic - Tropical Storm Jeanne battered the Dominican Republic before heading to the Bahamas where the tempest, which has killed at least nine people, began to churn seas and stir deadly storm surges on Saturday.    Jeanne lost strength as it drove thousands of Dominicans from their homes by late Friday...
1845;EffectiveBrand Showcases Travelocity Travel Search Toolbar\\Busy travelers shopping for the right priced flights, hotel rooms, and car rentals have turned to Travelocity on many occassions for their online travel needs. Making Travelocity one of the premier online travel sites - compared with Yahoo Travel and MSN's Expedia. Such popularity in ...
1846;" #147;I am writing these words on the most elegant desktop computer I #146;ve ever used, #148; writes Walt Mossberg about the iMac G5 in the Wall Street Journal,  #147;a computer that is not only uncommonly beautiful but fast and powerful, virus-free and surprisingly affordable. This machine takes up no more space on a desk than a flat-panel monitor. In fact, the entire computer is contained behind a flat-panel screen in a space just 2 inches thick  #151; thinner than most flat-panel monitors alone. #148; Sep 23"
1847;JERUSALEM - A Palestinian teenager blew herself up at a busy Jerusalem bus station Wednesday, killing two Israeli policemen who stopped her for a security check and wounding 16 bystanders in an attack that evaded Israel's clampdown on the West Bank for the Jewish holidays.    Prime Minister Ariel Sharon, meanwhile, dropped a plan to evacuate 21 Jewish settlements in the Gaza Strip simultaneously at the beginning of next year, reverting to an earlier formula - a staged pullout in the summer of 2005...
1848;By LAURAN NEERGAARD    WASHINGTON (AP) -- Antidepressants should come with the nation's strongest warning - in a black box on the label - that they can sometimes spur suicidal behavior in children and teenagers, the government's scientific advisers decided Tuesday.    It's a rare risk, and therefore families need detailed information on how to balance that concern with the need to treat depression, which itself can lead to suicide, cautioned advisers to the Food and Drug Administration...
1849;SAN FRANCISCO - It's easy to get the impression that the midrange Unix server is like a boxer near the end of a career - still packing a wallop, just no longer throwing knockout left hooks. But the truth is, new processor architectures, multi-core systems, and the ascension of x86 chips are giving these systems extra punch, and users plenty to think about as they plan their purchasing for the next few years.
1850;NY JETS (2-0) at MIAMI (0-3) When/where: Sunday, 4 p.m., at Miami. TV: Ch. 4. Last season: Miami won, 21-10 and 23-21. Comments: The Jets are coming off a bye week, while the Dolphins lost to the Steelers in a hurricane last weekend. Jay Fiedler reportedly will be back starting at quarterback for Miami, in place of an ineffective A.J. ...
1851;ATHENS, Greece - The United States won the men's 400-meter medley relay in world-record time Saturday night, giving Michael Phelps his record eighth medal of the Athens Olympics without him getting into the pool. Aaron Peirsol, Brendan Hansen, Ian Crocker and Jason Lezak won in 3 minutes, 30.68 seconds, lowering the old mark of 3:31.54 set by the Americans at last year's world championships in Barcelona, Spain...
1852;Editor and Publisher - NEW YORK One day after U.S. soldiers directly questioning Secretary of Defense Donald Rumsfeld about the lack of armored vehicles in Iraq made national news, an email from a Chattanooga (Tenn.) Times embedded reporter ignited more interest after it was posted on two influential Web sites.
1853;National Center for Atmospheric Research -- Computer models of Earth's climate have consistently linked long-term, high-magnitude variations in solar output to past climate changes.     Now a closer look at earlier studies of the Sun casts doubt on evidence of such cycles of brightness, their intensity and their possible influence on Earth's climate...
1854;"There have been some rumors floating around lately about an RNC ad that is being sent to people living in the Bible Belt about how 'liberals' want to ""ban the Bible"" (what that really means, I don't know, but there you have it).  It ain't a rumor folks, this is U.S. Presidential Campaign 2004, at its finest."
1855;"ROME - The United States' new biometric system of border controls violates civil rights without delivering security, the head of the London-based civil liberties watchdog Privacy International warned Friday. The system involves a ""wholesale and aggressive violation"" of privacy but was also likely to generate errors and eventually collapse under its own weight, Privacy International Director Simon Davies said."
1856;"OSLO, Norway - Police fielded a flood of tips but still had no motive Monday for the daring theft of ""The Scream"" and another Edvard Munch masterpiece by armed robbers who barged into a lightly guarded Oslo museum and ripped the paintings from the walls before the eyes of stunned visitors.    Police, who launched a nationwide hunt for the works, said there had been no word from the thieves, who were widely expected to demand a ransom..."
1857;Names Ethiopian distance runner Kenenisa Bekele and Russian pole vaulter Yelena Isinbayeva were named male and female athletes of the year by the world track and field federation. Isinbayeva set eight world records in 2004, including one while winning the gold medal at the Olympics. Bekele won the 10,000 meters in Athens and finished second to Hicham El Guerrouj in ...
1858;BOSTON - Boston ace Curt Schilling will not start a possible Game 5 of the AL championship series Sunday because of an injured right ankle, though it's possible Schilling could return later in the series.    Derek Lowe will start in his place - unless the schedule is pushed back by rain that is forecast for Game 3 on Friday night...
1859;The final Manning Bowl bragging rights belong to Lynn English. The Bulldogs closed out the career of the deteriorating 66-year-old Lynn landmark, which is slated to be torn down this winter and replaced by a state-of-the-art facility, by rolling over archrival Lynn Classical, 28-8, yesterday before more than 3,500 fans. For the first time in 28 years, English ...
1860;AP - On his souvenir bobblehead night, Zydrunas Ilgauskas shook Gund Arena and the Phoenix Suns. Cleveland's 7-foot-3 center drained three long jumpers, including a tying 3-pointer at the end of regulation, and the Cavaliers rallied for a 114-109 overtime win against Phoenix on Wednesday night, the Suns' first loss this season.
1861;Links to this week's topics from search engine forums across the web: How Do I Spot Cloaked Sites? - Geico Takes Aim at Google for Selling Ads Linked to Trademarks - Overture Match Type Changes - SEO: How Do You Separate Truth from Speculation? - How to Emergency Pause your AdWords Campaign
1862;This week I purchased the ingredients for Red Thai Curry, a fantastic dish I was first introduced to at Bangkok Pavilion in my wonderful home of Kansas City. It has fantastic, varied texture, a medley of rose-tinted colors, and a scent sure to get any curry enthusiast's saliva glands working overtime.  After returning from the grocery store with my bag of goodies, I wasted no time in preparing my meal.  My shopping list included:    1 bag sticky sushi rice  1 can coconut milk  Red Thai curry paste  fresh basil leaves  fresh anise leaves  1 green bell pepper  1 red onion  1 tomato  1 bag frozen peas  lemon grass  Total time from preparation to serving is about 45 minutes, so set aside at least an hour just in case there's an unforeseen complication.  
1863;COLUMBUS, Ohio -- Lydell Ross rushed for 141 yards and a touchdown, and No. 9 Ohio State's defenders stymied Cincinnati in a 27-6 win yesterday.Justin Zwick, seeing his first substantial playing time at quarterback for the Buckeyes, threw two interceptions and had four fumbles in a rough outing. He completed 14 of 26 passes for 213 yards and a touchdown. ...
1864;Dale Earnhardt Jr. was subdued yesterday following his victory at Talladega Superspeedway Sunday. Junior put his newly acquired points lead in jeopardy by cursing during an interview with NBC after dominating the EA Sports 500 to take the Nextel Cup lead by 13 points over Kurt Busch . Asked about the significance of his fifth victory at Talladega, Earnhardt said, ...
1865;SPACE.com - TELLURIDE, COLORADO -- Better make room for an extra crewmember aboard any spaceship heading outward. This person wont require food, oxygen or water, nor even need to buckle up for safety. The tag-along traveler could, however, be a lifesaver in terms of getting the expedition to and from a celestial destination.
1866;AUSTIN, Texas - A retired Texas National Guard official mentioned as a possible source for disputed documents about President Bush's service in the Guard said he passed along information to a former senator working with John Kerry's campaign.    Also, a White House official said Saturday that Bush has reviewed disputed documents that purport to show he refused orders to take a physical examination in 1972 and did not recall having seen them previously...
1867;NAJAF, Iraq - Radical Shiite cleric Muqtada al-Sadr accepted a peace plan Wednesday that would disarm his militia and remove them from their hideout in a revered shrine, raising hopes of resolving a crisis that has angered many of Iraq's majority Shiites and threatened to undermine the fledgling interim government.    But al-Sadr has made contradictory statements in the past, and aides to the cleric said he still wanted to negotiate details of the deal to end two weeks of fighting between his forces and U.S.-led troops...
1868;"I #39;m starting to wonder if  quot;Puerto Rico 92, USA 73 quot; was one of those life-altering upsets, along the lines of  quot;USA 4, USSR 3 quot; and  quot;Cadwallader 99, Nevada State 98. quot; It #39;s not that we lost. I knew that was going to happen. Even predicted it. It was the way ..."
1869;JERUSALEM - Prime Minister Ariel Sharon said Thursday all 8,200 Jewish settlers will be pulled out of the Gaza Strip starting next summer, and he ordered a troop withdrawal from a refugee camp - signaling that a bloody two-week offensive in northern Gaza could be easing.    Sharon said next year's settlement evacuation would be completed within 12 weeks despite opposition from settlers and their backers...
1870;ATHENS -- Carlos Boozer spent two years in Cleveland. The last one, when he made himself into a player deemed worthy of Olympic stature, the coach who worked with him on a daily basis was assistant Mark Osowski. Yesterday, while getting ready for today's game vs. Spain, Boozer took time to reflect on the Leominster-reared Osowski, who died Sunday of ...
1871;AP - The only birdie Vijay Singh made all day was the only one that mattered. All but counted out of the PGA Championship with a putter that failed him, Singh took advantage of a late collapse by Justin Leonard to get into a three-way playoff Sunday at Whistling Straits, then made the only birdie over the three extra holes to win the final major of the year.
1872;Sensuous, intellectual woman, 5'3, adventurous, pretty and open, seeks a life partner who is sexy, highly intelligent and cheerful. How old is this woman? In her early 60s. That's the profile Mary Bellis Waller, now 64, posted on two Internet dating sites during her search for a companion. Waller was a pioneer of online dating among people her age, and thousands of others age 60 and older are also turning to the Internet to find romance.
1873;"Player introductions at the final Citizens Bank Summer Caravan stop produced an awkward moment. Walter McCarty and Raef LaFrentz were the featured guests for the free basketball clinic at the Cambridge Family YMCA late last week. McCarty's presence yielded chants of  quot;Walter, Walter quot; from the crowd of 125 kids. LaFrentz left the young fans wondering,  quot;Who is he? quot; The projected ..."
1874;OAKLAND, Calif. -- Jacksonville's first winning season in five years wasn't enough to make the playoffs. Byron Leftwich looked out of synch, but the Jaguars still managed to beat the Raiders, 13-6, yesterday. Though the Jaguars (9-7) were in postseason contention when the game started, they were knocked out when Denver beat Indianapolis.
1875;"InfoWorld - Adobe unveils Acrobat 7.0\Adobe Systems has launched Version 7.0 of its Acrobat family of desktop applications. Enhancements to the software allow users to leverage Acrobat 7.0 and Adobe PDF for processes such as assembling documents from multiple sources, creating forms, and secure collaboration. Acrobat 7.0 tightens integration with Adobe LiveCycle software for connecting document services with businesses processes. The integration allows Acrobat 7.0 Professional users to create XML and PDF forms that can be integrated into back-end systems. Also announced was Adobe Reader 7.0 client software, which facilitates Reader users #8217; participation in document reviews and access to Yahoo Search functions. Acrobat 7.0 Professional is priced at  #36;449; existing users can upgrade for  #36;159. Acrobat 7.0 Standard is priced at  #36;299; upgrades are priced at  #36;99.\Acrobat 7.0, Adobe Systems"
1876;BusinessWeek Online - For more than a year, PeopleSoft Inc.  CEO Craig Conway has battled to prevent Oracle Corp.'s  Larry Ellison from grabbing his company in a hostile takeover. Now, Conway's spirited quest has absorbed a potentially fatal blow: On Sept. 9, U.S. District Court Judge Vaughn R. Walker ruled that the Justice Dept. had no grounds to block the acquisition. While the European Community could still stop it, the legal case for halting this shotgun wedding is looking weaker by the day.
1877;BEIRUT, Lebanon - Three Lebanese men and their Iraqi driver have been kidnapped in Iraq, the Lebanese Foreign Ministry said Sunday, as Iraq's prime minister said his government was working for the release of two Americans and a Briton also being held hostage.    Gunmen snatched the three Lebanese, who worked for a travel agency with a branch in Baghdad, as they drove on the highway between the capital and Fallujah on Friday night, a ministry official said...
1878;MOSCOW - Russia's Cabinet approved the Kyoto Protocol on global warming Thursday, clearing the way for the worldwide adoption of the document once the Russian parliament ratifies it as widely expected.    The protocol must be ratified by no fewer than 55 countries that accounted for at least 55 percent of global emissions in 1990, and Russia's participation would tip the scale...
1879;"AP - President Bush and Sen. John Kerry are locked in a tie for the popular vote, according to an Associated Press poll. Voters seem open to change in the White House  #151; most disapprove of the president's performance at home and in Iraq  #151; but still harbor doubts about making the switch."
1880;BAGHDAD -- The US military announced yesterday that it had arrested a top Iraqi National Guard commander in Tikrit, accusing him of working with the insurgency. It was the most serious publicized confirmation so far that the growing resistance movement, which US officials admitted yesterday is fanning out from bases in Fallujah and Baghdad, has infiltrated the top echelons of ...
1881;Just hours after the government agreed to a peace deal Tuesday aimed at ending violence in Darfur, Sudanese police arrived at this battered camp in the middle of the night, beating residents with wooden poles, bulldozing and burning shelters and firing tear gas into a health clinic, residents and aid workers reported.
1882;"AP - Give Seimone Augustus the basketball and watch her go to work. Nothing is more comforting to the LSU Lady Tigers  #151; or more unsettling for their opponents. Augustus has tormented defenders for two years and the accolades have poured in. She received another Tuesday as the No. 1 choice on The Associated Press' preseason All-America team."
1883;UPS likes to do things big way. Last year, the company garnered a place in the InfoWorld 100 with a wireless project that will ultimately replace 55,000 scanning devices. This year, the company takes the coveted top slot, thanks to a nine-year, \$600 million package flow initiative that as of October 2004 has successfully transformed 250 of the companys 1,500 package centers.
1884;What are Blogs, and Why Your Business Should Use One\\A few weeks ago I was involved in a very strange conversation with some pretty bright people. One publishes a widely circulated industry magazine, another was an industry consultant, and the last was the CEO of a major corporation in the ...
1885;NEW YORK -- Olivier Rochus didn't know quite how to react. First the arms went hesitantly up in the air. Then there was a little half-fist pump, a triumphant bellow, and a smile that could have lit a path through the darkest storm. Then Rochus, a 23-year-old Belgian who prior to this year had never won a match at the ...
1886;"MSN Search Beta Not Ranking MSN Search Blog\\Ok, I lied in the title of the thread (original title was ""penalizing MSN Search Blog""), but it did get you to click over from your RSS feed aggregator, didn't it? ;) But there is some truth to this title, MSN Search Beta ..."
1887;NAJAF, Iraq - Militiamen loyal to rebel Shiite cleric Muqtada al-Sadr on Friday removed weapons from the revered Imam Ali Shrine in Najaf in a step aimed at ending the 2-week-old uprising centered on the holy site.    Iraq's highest Shiite cleric, Grand Ayatollah Ali al-Husseini al-Sistani, agreed to take control of the shrine, which al-Sadr's Mahdi Army militia turned into a stronghold and refuge during their fight with U.S...
1888;AP - Russia is vowing to proceed with an auction of oil giant Yukos' key production subsidiary, saying a U.S. court ban is irrelevant. But the expected winner of Sunday's auction, the state-run Russian gas company Gazprom, may not be able to pay after a consortium of Western banks reportedly put on hold billions of dollars in credit it needs to fund its bid.
1889;NEW YORK -- This was all about Athens, about redemption for one and validation for the other. Britain's Paula Radcliffe, the fastest female marathoner in history, failed to finish either of her Olympic races last summer. South Africa's Hendrik Ramaala was a five-ringed dropout, too, reinforcing his reputation as a man who could go only half the distance.
1890;"\\This is a ""brilliant"" idea : (where brilliant is stupid)\\""By wearing a specially designed electronic badge that jams electronic cameras,\they will be able to prevent photographers from taking unwanted pictures.""\\""The ""privacy protection system"" being developed by Hewlett-Packard will allow\the publicity-shy to transmit an infrared signal to any nearby compatible\camera. Once activated, the camera's software will automatically blur beyond\recognition the face of anybody wearing the badge...""\"
1891;"ATHENS -- Evita Agiasoteli has been counting Greece's Olympic medals. Each one comes with a celebration from the boy next door, who likes to run through their neighborhood in the northern Athenian suburb of Nea Ionia yelling  quot;Hellas! quot; with each gold. Other neighbors often leave their evening yogurts unfinished so they can join the boy's victory cheer."
1892;BEIJING -- A small passenger plane carrying 53 people crashed today in a northern lake immediately after takeoff, and the government said there were no survivors. The plane crashed into a frozen lake in Baotou, a city about 330 miles northwest of Beijing, seconds after taking off at about 8:20 a.m., the official Xinhua News Agency said. The China Eastern ...
1893;Waltham's boys' soccer team is still unbeaten, and Richard Awa is still red-hot. On the strength of two goals by Awa, visiting Waltham earned a 3-3 tie with No. 2 Everett yesterday. Everett also remained unbeaten, while Waltham, coming off a subpar season, remained the surprise story of this campaign.
1894;"BASEBALL Atlanta (NL): Optioned P Roman Colon to Greenville (Southern); recalled OF Dewayne Wise from Richmond (IL). Boston (AL): Purchased C Sandy Martinez from Cleveland (AL) and assigned him to Pawtucket (IL). Cleveland (AL): Recalled OF Ryan Ludwick from Buffalo (IL). Chicago (NL): Acquired OF Ben Grieve from Milwaukee (NL) for player to be named and cash; acquired C Mike ..."
1895;washingtonpost.com - The Internet rumor mill had it right several weeks ago when whispers circulated that Apple was readying a retooled iPod music player and had entered into a special promotional deal with the mega-famous rock band U2.  Yesterday brought confirmation of both, with most of the media focusing in on the official news that the quirky computer-company-turned-digital-entertainment-pacesetter has given its portable music player the ability to store digital images.
1896;" SAN FRANCISCO (Reuters) - International Business Machines  Corp. &lt;A HREF=""http://www.reuters.co.uk/financeQuoteLookup.jhtml?ticker=IBM.N qtype=sym infotype=info qcat=news""&gt;IBM.N&lt;/A&gt; late on Wednesday rolled out a new version of its  database software aimed at users of Linux and Unix operating  systems that it hopes will help the company take away market  share from market leader Oracle Corp. &lt;A HREF=""http://www.reuters.co.uk/financeQuoteLookup.jhtml?ticker=ORCL.O qtype=sym infotype=info qcat=news""&gt;ORCL.O&lt;/A&gt;."
1897;Maybe this is all you need to know about the determination on Yawkey Way to overtake the Yankees in the American League East: Nearly a month before the regular season ends, Red Sox starters were told to prepare to wage an all-out effort in the four-game series that ends the season in Baltimore.
1898;"\\I really like how the Washington Post cites their endorsement of Kerry :\\""EXPERTS TELL US that most voters have had no difficulty making up their minds\in this year's presidential election. Half the nation is passionately for\George W. Bush, the pollsters say, and half passionately for John F. Kerry --\or, at least, passionately against Mr. Bush. We have not been able to share in\this passion, nor in the certainty. As readers of this page know, we find much\to criticize in Mr. Bush's term but also more than a few things to admire. We\find much to admire in Mr. Kerry's life of service, knowledge of the world and\positions on a range of issues -- but also some things that give us pause. On\ba ...\\"
1899;"NEW YORK - Fox News Channel's Bill O'Reilly made a TV talk show appearance on what he said was ""the worst day of my life"" Thursday, vowing to fight sexual harassment charges by one of his producers.    Accuser Andrea Mackris spoke publicly for the first time, saying she felt threatened by her former boss, who filed a lawsuit charging the woman and her lawyer with extortion..."
1900;WASHINGTON - Despite gaining their freedom by signing pledges to renounce violence, at least seven former prisoners of the United States at Guantanamo Bay, Cuba, have returned to terrorism, at times with deadly consequences.    At least two are believed to have died in fighting in Afghanistan, and a third was recaptured during a raid of a suspected training camp in Afghanistan, said Lt...
1901;AP - In One Day of Prayer, sent in advance for use Oct. 24, The Associated Press misattributed a statement about policy toward the preaching of radical Islam at the London Central Mosque. The official quoted was the deputy director of the mosque, Sheik Anwar Madi, not the director, Ahmed Al-Dubian.
1902;AP - Mizuki Noguchi of Japan held on for the gold and American Deena Kastor used a late burst for a stunning bronze medal finish Sunday night in the Olympic marathon. Kastor's third place gave the United States its first marathon medal since Joan Benoit's gold in Los Angeles 20 years ago.
1903;Canadian Press - SYDNEY, Australia (AP) - Australia plans to enforce a maritime security zone more than 1,700 kilometres out to sea, far beyond its territorial waters, in a move to boost defences against possible terror attacks on its soil and offshore oil and gas facilities, Prime Minister John Howard said Wednesday.
1904;"For Hollywood Reporter, Sheigh Crabtree writes that Oscar-winning editor Walter Murch  #147;will reteam his key editing crew from  #145;Cold Mountain #146; and again use Apple #146;s Final Cut Pro system, but in high definition #148; for the editing of Universal Pictures #146; upcoming Gulf War drama  #147;Jarhead. #148; Oct 06"
1905;"\\""WASHINGTON (AP) -- Documents that should have been written to explain gaps in\President Bush's Texas Air National Guard service are missing from the military\records released about his service in 1972 and 1973, according to regulations\and outside experts.""\\""For example, Air National Guard regulations at the time required commanders to\write an investigative report for the Air Force when Bush missed his annual\medical exam in 1972. The regulations also required commanders to confirm in\writing that Bush received counseling after missing five months of drills""\\"
1906;" #147;Apple once again was the star of the show at the annual MacUser awards, #148; reports MacUser,  #147;taking away six Maxine statues including Product of the Year for the iTunes Music Store. #148; Other Apple award winners: Power Mac G5, AirPort Express, 20-inch Apple Cinema Display, GarageBand and DVD Studio Pro 3. Nov 22"
1907;"LOS ANGELES, CA -- Officials from ASCAP today indicated they intend to pursue music royalties from the organizers of Burning Man, an artist's gathering and celebration held over the Labor Day holiday near Reno, NV.   The unconventional event, held annually since 1986, has never paid fees for any of the music played at the event, says ASCAP.  ""We intend to pursue all available avenues to get this issue resolved,"" said Tony Wilcox, ASCAP spokesperson."
1908;The old order is passing in boxing and a potential new powerhouse has emerged. Timing always has been the ally of Oscar De La Hoya and Bernard Hopkins. It is what made the former a six-time world champion and the latter the undisputed middleweight champion through more successful title defenses than any fighter in history.
1909;NewsFactor - On the heels of -- and perhaps in response to -- its recent struggles with declining market share, mobile-handset maker Nokia (NYSE: NOK) has signed former Coca-Cola executive Keith Pardy to head up its branding efforts. Pardy, a 17-year Coke veteran, was vice president of the company's non-cola branding efforts.
1910;MINNEAPOLIS, Oct. 7 - Kevin Brown is as predictable as the height of the artificial turf at the Metrodome because he rarely changes. He trudges into the clubhouse with his chin to his chest, says little, takes his uniform into the trainer's room and gets dressed apart from his teammates and reporters.
1911;Opera Browser - Firefox Not the Only IE Alternative\\Security flaws have long plagued Internet Explorer (IE), the market-dominating web browser from Microsoft. IE won the early browser wars, not only because it was free and bundled with Windows, but because it had some features and capabilities that its only real ...
1912;WASHINGTON - Democrats are blaming President Bush for the record 2004 federal deficit of \$413 billion, but Republicans say the figure shows that the economic and budget pictures are brightening.    The Treasury Department announced the figure Thursday, two weeks after the government's 2004 budget year ended and just 19 days from an Election Day in which Bush's economic and fiscal performance are pivotal issues...
1913;JEBALIYA REFUGEE CAMP, Gaza Strip - Israeli troops and aircraft hit hard at Palestinian militants this weekend, killing at least 12 in a massive Israeli incursion into the Gaza Strip's largest refugee camp, as masked Hamas gunmen vowed more rocket attacks on Israeli towns.    About 2,000 soldiers have taken control of a 5-mile-deep chunk of northern Gaza to counter militants firing homemade rockets into Israel...
1914;A NASA-led team is studying the construction of a railway in space for a pair of telescopes that will provide views of planet, star, and galaxy formation in unprecedented detail. The proposed Space Infrared Interferometric Telescope (SPIRIT) mission will also examine the atmospheric chemistry of giant planets around other stars.
1915;"AP - Jacksonville quarterback Byron Leftwich doesn't understand why his teammates and coaches rave about his toughness. Sure, there was the memorable shin injury he played through at Marshall in 2002  #151; when his linemen had to carry him downfield after big gains against Akron. Then there was the bruised shoulder and sprained ankle he played through last weekend against Kansas City."
1916;AP - The top overall draft choice in the 1999 draft by Cleveland, Tim Couch was released by the Browns in June. He joined the Packers and was projected as Brett Favre's backup. But the quarterback never progressed, and the Packers cut him Sunday as teams got down to the 53-man roster limit for the regular season.
1917;"Design and Coding for the Complete Package - WMW Conf 7\\Roger Sooley from CompStar was up first, his forum name is ""rogerd"". He first goes into the question about building the software yourself or using a pre-built software application. The first question you need to ask is ""is your business ..."
1918;"AP - Over three decades, Bob Klein amassed a fortune by building and financing low-income housing. After his 14-year-old son was diagnosed with diabetes in 2001, however, he redirected his considerable political clout and business savvy. The longtime Democrat has since become one of the biggest private patrons of human embryonic stem cell research  #151; medical technology that many scientists believe can someday cure a wide range of ailments, including diabetes."
1919;AP - Those Red Sox managers just never learn. With an eerie similarity to last year's postseason debacle, Pedro Martinez took a lead into the eighth inning before tiring and the New York Yankees rallied past Boston 6-4 Friday night to open a 5 1/2-game advantage in the AL East.
1920;MINNEAPOLIS - Gary Sheffield homered twice and keyed a four-run rally in the ninth inning Thursday night, sending the New York Yankees to a seesaw, 13-10 win over the Minnesota Twins.    Down 9-3 and minus Gold Glove center fielder Torii Hunter after he crashed into the fence, the Twins came back and almost swept the three-game series between AL division leaders...
1921;KABUL, Afghanistan -- Jonathan Keith Idema, an American accused of running a freelance antiterror operation and private prison in Afghanistan, testified in court yesterday that he could prove US and Afghan authorities were fully aware of his actions, and he accused the FBI of confiscating evidence that would support his contention.
1922;KIEV -- Opposition leader Viktor Yushchenko yesterday pressed for the prime minister's removal from office, dismissal of electoral officials, and new legislation to guard against fraud in a new presidential runoff, warning that his supporters would continue to blockade government offices until outgoing President Leonid D. Kuchma meets those demands.
